Team 1 Compo,Team 2 Compo,Victory
"['Caitlyn', 'Graves', 'Lulu', 'Malzahar', 'Yorick']","[""Kai'Sa"", 'Lillia', 'Nautilus', 'Riven', 'Vi']",0
"['Fizz', ""Kha'Zix"", 'Malphite', 'Nami', 'Vayne']","['Caitlyn', 'Hecarim', 'Karma', ""Vel'Koz"", 'Wukong']",1
"['Caitlyn', 'Ekko', 'Garen', 'Master Yi', 'Soraka']","['Ashe', 'Galio', 'Lee Sin', 'Nautilus', 'Shen']",1
"['Draven', 'Kayle', 'Kayn', 'Soraka', 'Yasuo']","['Akali', 'Bard', 'Ezreal', 'Lissandra', 'Shaco']",1
"['Graves', 'Lee Sin', 'Lux', 'Morgana', 'Orianna']","['Garen', 'Gragas', 'Sona', 'Varus', 'Yone']",0
"['Akali', 'Jinx', 'Lillia', 'Nautilus', 'Yasuo']","['LeBlanc', 'Lee Sin', 'Lux', 'Malphite', 'Morgana']",1
"['Caitlyn', 'Gragas', 'Nasus', 'Thresh', 'Viktor']","['Blitzcrank', 'Galio', 'Garen', 'Lee Sin', 'Mordekaiser']",0
"['Caitlyn', 'Lillia', 'Shen', 'Viktor', 'Ziggs']","['Akali', 'Ashe', 'Nautilus', 'Sett', 'Vi']",0
"['Amumu', 'Fiora', 'Garen', 'Senna', 'Yone']","['Ashe', 'Gangplank', 'Sylas', 'Thresh', 'Warwick']",0
"['Olaf', 'Twitch', 'Varus', 'Veigar', 'Zed']","['Ashe', 'Elise', 'Katarina', 'Leona', 'Sett']",0
"['Amumu', 'Ekko', 'Jhin', 'Karma', 'Kayle']","['Fiora', ""Kai'Sa"", 'Volibear', 'Zilean', 'Zoe']",0
"[""Cho'Gath"", 'Kindred', 'Yasuo', 'Yuumi', 'Zac']","['Blitzcrank', 'Ezreal', ""Kai'Sa"", 'Shaco', 'Shen']",1
"['Garen', 'LeBlanc', 'Nunu & Willump', 'Thresh', 'Twitch']","['Gnar', 'Pyke', 'Tristana', 'Trundle', 'Yone']",0
"['Malzahar', 'Mordekaiser', 'Senna', 'Vi', 'Xayah']","[""Cho'Gath"", 'Jhin', 'Kayn', 'Pyke', 'Sylas']",1
"['Malphite', 'Master Yi', 'Miss Fortune', 'Morgana', 'Ziggs']","['Jinx', 'Kayn', 'Pantheon', 'Sona', 'Yorick']",1
"['Jhin', 'Lee Sin', 'Senna', 'Sett', 'Twisted Fate']","['Cassiopeia', 'Garen', 'Nami', 'Vayne', 'Xin Zhao']",0
"['Gangplank', 'Leona', 'Neeko', 'Shyvana', 'Vayne']","['Lux', 'Master Yi', 'Miss Fortune', 'Tryndamere', 'Ziggs']",1
"['Blitzcrank', 'Caitlyn', 'Malphite', 'Malzahar', 'Vi']","['Lulu', 'Nocturne', 'Sejuani', 'Twitch', 'Yone']",0
"['Caitlyn', 'Jax', 'Lillia', 'Rakan', 'Zoe']","['Ezreal', 'Fiddlesticks', 'Lux', 'Yone', 'Yorick']",1
"['Jhin', ""Kha'Zix"", 'Rakan', 'Teemo', 'Ziggs']","['Camille', 'Swain', 'Volibear', 'Xayah', 'Zoe']",0
"['Darius', 'Jhin', 'Lux', 'Swain', 'Yone']","['Ahri', 'Kindred', 'Nocturne', 'Shen', 'Thresh']",1
"['Brand', 'Draven', 'Jax', 'Nautilus', 'Yone']","['Miss Fortune', 'Shen', 'Shyvana', 'Xerath', 'Zed']",0
"['Jhin', 'Neeko', 'Rakan', 'Sion', 'Kayn']","['Blitzcrank', 'Katarina', 'Lucian', 'Teemo', 'Kayn']",1
"[""Kai'Sa"", 'Qiyana', 'Senna', 'Soraka', 'Sylas']","['Heimerdinger', 'Jax', 'Jhin', 'Shen', 'Yuumi']",0
"['Fiddlesticks', 'Pyke', 'Shyvana', 'Vayne', 'Yasuo']","['Jayce', ""Kai'Sa"", 'Lucian', 'Swain', 'Volibear']",0
"['Akali', 'Garen', 'Irelia', 'Sona', 'Trundle']","['Darius', 'Lucian', 'Thresh', 'Tristana', 'Warwick']",0
"['Ahri', 'Graves', ""Kog'Maw"", 'Urgot', ""Vel'Koz""]","['Ezreal', 'Kayn', 'Lulu', 'Teemo', 'Yone']",1
"['Caitlyn', 'Hecarim', 'Mordekaiser', ""Vel'Koz"", 'Zed']","['Illaoi', 'Jhin', 'Kayn', 'Pyke', 'Viktor']",1
"['Ahri', 'Ezreal', 'Tahm Kench', 'Twitch', 'Volibear']","['Jhin', 'Orianna', 'Pyke', 'Shen', 'Yorick']",0
"['Gragas', 'Jhin', 'Katarina', 'Kayle', 'Swain']","['Lucian', 'Renekton', 'Shaco', 'Sona', 'Vladimir']",1
"['Ashe', 'Jax', 'Nocturne', 'Olaf', ""Vel'Koz""]","['Gangplank', ""Kai'Sa"", 'Pyke', ""Rek'Sai"", 'Swain']",1
"['Galio', ""Kai'Sa"", 'Kayle', 'Volibear', 'Zilean']","['Aphelios', 'Hecarim', 'Jax', 'Nautilus', 'Xerath']",0
"['Jhin', 'Kayle', ""Kha'Zix"", 'Lillia', 'Sett']","['Ivern', ""Kai'Sa"", 'Morgana', 'Pyke', 'Qiyana']",1
"['Brand', 'Garen', 'Jax', 'Zilean', 'Jhin']","['Ashe', ""Kha'Zix"", 'Pyke', 'Sett', 'Jhin']",0
"['Graves', ""Kai'Sa"", 'Teemo', 'Thresh', 'Vladimir']","['Ezreal', 'Katarina', 'Pyke', 'Rengar', 'Udyr']",0
"['Braum', 'Jinx', 'Shaco', 'Teemo', 'Yasuo']","['Jhin', 'Katarina', 'Rakan', 'Tryndamere', 'Udyr']",1
"['Amumu', 'Kayle', 'Lillia', 'Miss Fortune', 'Zoe']","['Jarvan IV', 'Kalista', 'Katarina', 'Renekton', 'Thresh']",1
"[""Kai'Sa"", 'Master Yi', 'Senna', 'Sion', 'Syndra']","['Ashe', 'Braum', 'Twisted Fate', 'Xin Zhao', 'Yasuo']",1
"['Caitlyn', 'Irelia', 'Lulu', 'Pantheon', 'Poppy']","['Braum', 'Jinx', 'Xin Zhao', 'Yasuo', 'Yone']",1
"['Garen', 'Jhin', 'Lillia', 'Yuumi', 'Ziggs']","['Ekko', 'Kalista', 'Morgana', 'Yone', 'Zed']",0
"['Bard', 'Jinx', 'Mordekaiser', 'Yasuo', 'Yone']","['Caitlyn', 'Hecarim', 'Leona', 'Neeko', 'Tryndamere']",0
"['Lulu', 'Udyr', 'Xayah', 'Akali', 'Ashe']","[""Vel'Koz"", 'Yone', 'Zac', 'Akali', 'Ashe']",0
"['Lillia', 'Sona', 'Vayne', 'Yasuo', 'Yone']","['Caitlyn', 'Darius', 'Kindred', 'Sett', 'Yone']",1
"['Jinx', 'Lillia', 'Sett', 'Shaco', 'Sylas']","['Darius', 'Kayn', 'Teemo', 'Yone', 'Yuumi']",0
"['Blitzcrank', 'Fiora', 'Lee Sin', 'Swain', 'Vladimir']","['Master Yi', 'Ornn', 'Xayah', 'Yone', 'Yuumi']",0
"['Caitlyn', 'Lillia', 'Master Yi', 'Morgana', 'Yone']","['Akali', ""Kai'Sa"", 'Kayn', 'Lulu', 'Yone']",0
"['Lux', 'Nunu & Willump', 'Ornn', 'Sivir', 'Yone']","['Akali', 'Ashe', 'Jarvan IV', 'Yasuo', 'Yone']",0
"['Ezreal', 'Gangplank', 'Pyke', 'Veigar', 'Warwick']","['Bard', 'Darius', 'Fiddlesticks', 'Twitch', 'Yasuo']",0
"['Ezreal', 'Hecarim', 'Illaoi', 'Yasuo', 'Yuumi']","[""Kai'Sa"", 'Kassadin', 'Rengar', 'Sett', 'Singed']",0
"['Annie', 'Draven', 'Kayn', 'Riven', 'Yuumi']","['Darius', 'Fiddlesticks', 'Jhin', 'Senna', 'Veigar']",0
"['Ezreal', 'Jhin', 'Pyke', 'Swain', 'Sylas']","['Darius', ""Kai'Sa"", 'Nami', ""Rek'Sai"", 'Zoe']",0
"['Ashe', 'Galio', 'Poppy', 'Skarner', 'Viktor']","[""Kai'Sa"", 'Lee Sin', 'Miss Fortune', 'Rammus', 'Shen']",1
"['Brand', 'Kennen', 'Malzahar', 'Nidalee', 'Yasuo']","['Sett', 'Varus', 'Viktor', 'Volibear', 'Yone']",0
"['Ashe', 'Illaoi', 'Lulu', 'Veigar', 'Volibear']","['Jax', 'Jhin', 'Katarina', 'Senna', 'Warwick']",1
"['Ahri', 'Ezreal', 'Master Yi', 'Shen', 'Soraka']","['Hecarim', 'Jhin', 'Kassadin', 'Nasus', 'Yuumi']",1
"['Kayn', 'LeBlanc', 'Olaf', 'Twitch', 'Yuumi']","['Jhin', 'Lux', 'Nautilus', 'Wukong', 'Yorick']",0
"['Hecarim', 'Irelia', 'Twitch', 'Yuumi', 'Zed']","['Akali', 'Ezreal', 'Lux', 'Swain', 'Warwick']",1
"['Darius', 'Draven', 'Master Yi', 'Morgana', 'Yone']","['Akali', 'Gnar', 'Hecarim', 'Twitch', 'Yuumi']",0
"['Ahri', 'Twitch', 'Volibear', 'Yone', 'Yuumi']","['Lee Sin', 'Mordekaiser', 'Morgana', 'Tristana', 'Yasuo']",0
"['Gnar', 'Jax', 'Twitch', 'Yone', 'Yuumi']","['Ekko', 'Kayn', 'Lucian', 'Senna', 'Yorick']",1
"['Aatrox', 'Senna', 'Swain', 'Twitch', 'Zoe']","['Kindred', 'Rakan', 'Vladimir', 'Wukong', 'Xayah']",1
"['Ashe', 'Galio', 'Gangplank', 'Janna', 'Rengar']","['Annie', 'Evelynn', 'Nasus', 'Vayne', 'Yuumi']",1
"['Galio', 'Gangplank', 'Graves', ""Kai'Sa"", 'Rakan']","['Master Yi', 'Nasus', 'Senna', 'Sylas', 'Yuumi']",1
"['Akali', 'Caitlyn', 'Mordekaiser', 'Nocturne', 'Pyke']","['Fiddlesticks', 'Miss Fortune', 'Pantheon', 'Sett', 'Yuumi']",0
"['Ezreal', 'Hecarim', 'Kennen', 'Sylas', 'Yuumi']","['Orianna', 'Poppy', 'Rammus', 'Senna', 'Vayne']",0
"['Diana', 'Jhin', 'Nocturne', 'Rumble', 'Swain']","['Fizz', 'Lux', 'Master Yi', 'Renekton', 'Sona']",0
"['Illaoi', 'Jax', ""Kai'Sa"", 'Nami', 'Orianna']","['Caitlyn', 'Hecarim', 'Janna', 'Trundle', 'Zed']",1
"['Ashe', ""Kha'Zix"", 'Leona', 'Orianna', 'Shen']","['Akali', 'Jhin', 'Morgana', 'Olaf', 'Volibear']",1
"['Ezreal', 'Leona', 'Nasus', 'Neeko', 'Volibear']","['Braum', 'Kassadin', 'Kayn', 'Lucian', 'Urgot']",1
"['Fiddlesticks', 'Galio', 'Janna', 'Riven', 'Senna']","['Ekko', 'Garen', 'Sett', 'Vayne', 'Yuumi']",0
"['Ezreal', 'Galio', 'Olaf', 'Trundle', 'Yuumi']","['Akali', 'Darius', 'Miss Fortune', 'Nunu & Willump', 'Taric']",0
"['Caitlyn', 'Maokai', 'Morgana', 'Sylas', 'Urgot']","['Fizz', 'Gnar', 'Jinx', 'Leona', 'Volibear']",1
"['Amumu', 'Fiora', ""Kai'Sa"", 'Lux', 'Xerath']","['Ashe', 'Lee Sin', 'Lucian', 'Malphite', 'Mordekaiser']",1
"['Draven', 'Ezreal', 'Lux', 'Riven', 'Volibear']","['Akali', 'Fiora', 'Janna', 'Ornn', 'Xayah']",0
"['Hecarim', 'Jhin', 'Lux', 'Xayah', 'Yasuo']","['Ashe', 'Ekko', 'Graves', 'Urgot', 'Veigar']",0
"['Amumu', 'Aphelios', 'Malphite', 'Teemo', 'Wukong']","['Ahri', 'Rakan', 'Sion', 'Tristana', 'Volibear']",0
"['Dr. Mundo', 'Elise', 'Ezreal', 'Galio', 'Yasuo']","['Kayn', 'Pyke', 'Rakan', 'Shen', 'Xayah']",0
"['Ashe', 'Jarvan IV', 'Lux', 'Malphite', 'Teemo']","['Garen', 'Jinx', 'LeBlanc', 'Pyke', 'Shen']",0
"['Darius', 'Ezreal', 'Lux', 'Zac', 'Zoe']","['Elise', ""Kai'Sa"", 'Nasus', 'Pyke', 'Teemo']",0
"['Ashe', ""Kha'Zix"", 'Lux', 'Renekton', 'Thresh']","['Blitzcrank', 'Galio', 'Garen', 'Jhin', 'Warwick']",0
"['Caitlyn', 'Irelia', 'Nasus', 'Nautilus', 'Zac']","['Lulu', 'Poppy', 'Shyvana', 'Swain', 'Teemo']",0
"['Jarvan IV', 'Kindred', 'Rakan', 'Shen', 'Xayah']","['Camille', 'Lucian', 'Nami', 'Sett', 'Zoe']",1
"['Aatrox', 'Blitzcrank', 'Evelynn', 'Jhin', 'Neeko']","['Elise', 'Gangplank', 'Nautilus', 'Renekton', 'Senna']",1
"['Lux', 'Rakan', 'Volibear', 'Xayah', 'Zac']","['Aatrox', 'Bard', 'Galio', 'Jarvan IV', 'Jinx']",0
"['Braum', 'Ivern', 'Mordekaiser', 'Senna', 'Sett']","[""Kai'Sa"", 'Leona', 'Nunu & Willump', 'Orianna', 'Riven']",0
"['Ezreal', 'Jax', 'Morgana', 'Tristana', 'Wukong']","['Azir', 'Gangplank', 'Jhin', 'Kayn', 'Pyke']",1
"['Caitlyn', 'Sona', 'Volibear', 'Zac', 'Zed']","['Alistar', 'Darius', 'Jinx', 'Nocturne', 'Yasuo']",1
"['Kayle', 'Nidalee', 'Pyke', 'Twitch', 'Yone']","['Akali', 'Jinx', 'Olaf', 'Thresh', 'Yone']",0
"['Ezreal', 'Karma', 'Lux', 'Mordekaiser', 'Zac']","['Blitzcrank', 'Jax', ""Kai'Sa"", 'Nunu & Willump', 'Veigar']",0
"['Cassiopeia', ""Kai'Sa"", 'Olaf', 'Teemo', 'Vladimir']","['Ezreal', 'Galio', 'Garen', 'Hecarim', 'Zyra']",0
"['Camille', 'Gragas', 'Jhin', 'Lux', 'Soraka']","[""Cho'Gath"", 'Lee Sin', 'Mordekaiser', 'Nami', 'Vayne']",1
"['Akali', 'Jax', 'Miss Fortune', 'Nami', 'Sett']","['Elise', 'Galio', 'Jhin', 'Riven', 'Thresh']",1
"['Karma', 'Master Yi', 'Pantheon', 'Vayne', 'Viktor']","['Ahri', 'Ashe', 'Graves', 'Poppy', 'Senna']",1
"['Diana', 'Graves', 'Rakan', 'Wukong', 'Yasuo']","['Jhin', 'Riven', 'Thresh', 'Vi', 'Ziggs']",1
"[""Kai'Sa"", 'Sona', 'Teemo', 'Volibear', 'Yone']","['Akali', 'Jarvan IV', 'Jhin', 'Nami', 'Viktor']",1
"['Ashe', 'Darius', 'Fiddlesticks', 'Illaoi', ""Vel'Koz""]","['Brand', 'Garen', 'Miss Fortune', 'Mordekaiser', 'Warwick']",1
"['Fizz', ""Kai'Sa"", 'Lux', 'Teemo', 'Volibear']","['Ezreal', 'Jax', 'Shen', ""Vel'Koz"", 'Yone']",0
"['Akali', ""Kai'Sa"", 'Karthus', 'Nocturne', 'Shen']","['Amumu', 'Janna', 'Sivir', 'Urgot', 'Zed']",0
"['Brand', 'Miss Fortune', 'Nautilus', 'Sion', 'Vi']","['Morgana', 'Nocturne', 'Ryze', 'Warwick', 'Xayah']",0
"['Fiora', 'Jinx', 'Mordekaiser', 'Senna', 'Vi']","['Amumu', 'Brand', 'Jhin', 'Yasuo', 'Yorick']",0
"['Garen', 'Irelia', 'Kayn', 'Nautilus', 'Vayne']","['Jhin', 'Lulu', 'Lux', 'Vi', 'Yasuo']",0
"['Kayle', 'Kayn', 'Lux', 'Nautilus', 'Yasuo']","['Brand', 'Jinx', 'Ryze', 'Volibear', 'Yone']",1
"['Brand', 'Jhin', 'Sett', 'Urgot', 'Ziggs']","['Ekko', 'Heimerdinger', 'Irelia', 'Kayn', 'Sivir']",1
"['Caitlyn', 'Ezreal', 'Karma', 'Yone', 'Teemo']","['Miss Fortune', 'Ryze', 'Udyr', 'Yasuo', 'Teemo']",0
"[""Kai'Sa"", 'Karma', 'Malzahar', 'Tristana', 'Vi']","['Ahri', 'Dr. Mundo', 'Evelynn', 'Jhin', 'Soraka']",1
"['Fiddlesticks', 'Kennen', 'Tristana', 'Yasuo', 'Shen']","['Jinx', 'Karma', 'Neeko', 'Warwick', 'Shen']",0
"['Akali', ""Kha'Zix"", 'Nautilus', 'Tristana', 'Yone']","['Gangplank', 'Karma', 'Sett', 'Twitch', 'Yasuo']",1
"['Karma', 'Kassadin', 'Tristana', 'Tryndamere', 'Aatrox']","['Ahri', 'Kindred', 'Miss Fortune', 'Volibear', 'Aatrox']",0
"['Ashe', 'Darius', 'Karma', 'Talon', 'Vi']","['Janna', 'Jhin', 'Kayle', 'Lee Sin', 'Yasuo']",0
"['Ezreal', 'Poppy', 'Soraka', 'Yone', 'Darius']","['Cassiopeia', 'Jhin', 'Karma', 'Kayn', 'Darius']",0
"['Ezreal', 'Karma', 'Lux', 'Yone', 'Zoe']","['Draven', 'Gangplank', 'Swain', 'Warwick', 'Yasuo']",0
"['Ashe', 'Evelynn', 'Sett', 'Zed', 'Zyra']","['Galio', 'Katarina', 'Kayle', 'Lucian', 'Vi']",0
"['Jhin', 'Kayle', 'Vi', 'Zoe', 'Zyra']","['Akali', 'Hecarim', 'Nasus', 'Twitch', 'Yuumi']",0
"['Galio', 'Gnar', 'Graves', 'Lux', 'Xayah']","['Akali', 'Ekko', 'Hecarim', 'Pyke', 'Vayne']",1
"['Ahri', 'Darius', 'Swain', 'Twitch', 'Vayne']","['Garen', 'Jhin', 'Lillia', 'Senna', 'Viktor']",0
"['Caitlyn', 'Nautilus', 'Rengar', 'Sylas', 'Zed']","['Nunu & Willump', 'Renekton', 'Vayne', 'Vladimir', 'Yuumi']",0
"['Azir', 'Gnar', ""Kha'Zix"", 'Senna', 'Taric']","['Brand', 'Dr. Mundo', 'Lucian', 'Lux', 'Vi']",0
"['Akali', 'Ezreal', 'Jax', 'Volibear', 'Zyra']","['Ahri', 'Braum', 'Graves', 'Shen', 'Xayah']",1
"[""Kha'Zix"", 'Lucian', 'Lux', 'Xayah', 'Zoe']","['Caitlyn', 'Jax', 'Lee Sin', 'Malzahar', 'Nami']",1
"['Fiddlesticks', 'Fiora', 'Nautilus', 'Vladimir', 'Xayah']","['Amumu', 'Lucian', 'Mordekaiser', 'Morgana', 'Yone']",1
"['Ashe', 'Lee Sin', 'Lissandra', 'Mordekaiser', 'Thresh']","['Lillia', 'Nautilus', 'Renekton', 'Vayne', 'Zed']",1
"['Ezreal', 'Leona', 'Malzahar', 'Skarner', 'Teemo']","['Lux', 'Master Yi', 'Nasus', 'Nautilus', 'Riven']",0
"['Ashe', 'Hecarim', 'Pyke', 'Sett', 'Veigar']","['Garen', 'Jinx', 'Kayle', 'Malzahar', 'Morgana']",0
"[""Cho'Gath"", 'Jax', 'Lucian', 'Morgana', 'Yone']","['Ezreal', 'Lulu', 'Maokai', 'Orianna', 'Shyvana']",0
"[""Kai'Sa"", 'LeBlanc', 'Lillia', 'Lulu', 'Wukong']","['Ivern', 'Malzahar', 'Morgana', 'Shen', 'Tristana']",0
"['Ahri', 'Ashe', 'Hecarim', 'Lulu', 'Pantheon']","['Jax', ""Kai'Sa"", 'LeBlanc', 'Thresh', 'Volibear']",1
"['Ekko', ""Kai'Sa"", 'Lulu', ""Rek'Sai"", 'Sett']","['Ahri', 'Ashe', 'Fiddlesticks', 'Maokai', 'Nami']",1
"['Ahri', 'Ezreal', 'Garen', 'Janna', 'Lee Sin']","['Annie', 'Gragas', 'Hecarim', 'Nami', 'Twitch']",1
"['Alistar', 'Cassiopeia', 'Senna', 'Thresh', 'Twisted Fate']","['Lillia', 'Neeko', 'Nidalee', 'Sett', 'Varus']",0
"['Miss Fortune', 'Shaco', 'Teemo', 'Yone', 'Pyke']","['Jinx', 'Kindred', 'Rumble', 'Sylas', 'Pyke']",0
"['Garen', ""Kai'Sa"", 'Morgana', 'Pyke', 'Singed']","['Caitlyn', 'Kassadin', 'Lee Sin', 'Nami', 'Nasus']",0
"['Ahri', 'Blitzcrank', 'Jinx', ""Kha'Zix"", 'Urgot']","['Ezreal', 'Kayle', 'Master Yi', 'Pyke', 'Yuumi']",1
"['Ahri', 'Morgana', 'Riven', 'Shaco', 'Xayah']","['Akali', 'Caitlyn', 'Fiora', 'Leona', 'Master Yi']",0
"['Blitzcrank', 'Gangplank', 'Jhin', 'Rengar', 'Veigar']","[""Kai'Sa"", 'Master Yi', 'Sett', 'Soraka', 'Sylas']",1
"['Draven', 'Fiddlesticks', 'Neeko', 'Twitch', 'Yasuo']","['Ezreal', 'Gangplank', 'Lulu', 'Master Yi', 'Viktor']",0
"['Ezreal', 'Graves', 'Kayle', 'Tahm Kench', 'Yone']","['Cassiopeia', 'Diana', 'Jhin', 'Xin Zhao', 'Yasuo']",1
"['Jax', ""Kha'Zix"", 'Lulu', 'Tristana', 'Zed']","['Corki', 'Hecarim', 'Jhin', 'Lux', 'Malzahar']",0
"['Cassiopeia', 'Hecarim', 'Sett', 'Soraka', 'Xayah']","['Camille', 'Morgana', 'Senna', 'Vi', 'Vladimir']",0
"[""Kai'Sa"", 'Lillia', 'Thresh', ""Vel'Koz"", 'Yasuo']","['Alistar', 'Garen', 'Graves', 'Miss Fortune', 'Zed']",1
"['Akali', 'Ashe', 'Fiddlesticks', 'Garen', 'Sett']","['Galio', 'Lee Sin', 'Poppy', 'Vayne', 'Zilean']",1
"['Elise', 'Jax', 'Nautilus', 'Twitch', 'Zed']","['Akali', 'Aphelios', 'Garen', 'Lee Sin', 'Lux']",0
"['Ahri', 'Lee Sin', 'Lulu', 'Vayne', 'Volibear']","['Nami', 'Rammus', 'Talon', 'Yone', 'Ziggs']",0
"['Brand', 'Graves', 'Jhin', 'Ornn', 'Zoe']","['Hecarim', 'Irelia', 'Mordekaiser', 'Soraka', 'Xayah']",0
"['Irelia', 'Kayn', 'Malphite', 'Senna', 'Yasuo']","['Kindred', 'Miss Fortune', 'Sylas', 'Syndra', 'Zilean']",1
"['Amumu', 'Syndra', 'Urgot', 'Vayne', 'Yuumi']","['Galio', 'Jinx', 'Lulu', 'Sett', 'Skarner']",0
"[""Cho'Gath"", 'Darius', 'Jhin', 'Singed', 'Twisted Fate']","['Akali', 'Aphelios', 'Skarner', 'Syndra', 'Yuumi']",0
"['Malphite', 'Quinn', 'Yasuo', 'Yone', 'Lee Sin']","['Akali', 'Aphelios', 'Malzahar', 'Morgana', 'Lee Sin']",0
"['Caitlyn', 'Gragas', 'Jayce', 'Malphite', 'Yuumi']","['Karma', 'Lucian', 'Malzahar', 'Sett', 'Warwick']",1
"['Ahri', 'Fiora', ""Kai'Sa"", 'Rakan', 'Skarner']","['Hecarim', 'Ornn', 'Thresh', 'Varus', 'Yasuo']",0
"['Ahri', 'Jax', 'Lee Sin', 'Miss Fortune', 'Pyke']","['Annie', 'Blitzcrank', 'Kalista', 'Kayle', 'Zac']",0
"['Caitlyn', 'Ivern', 'Pyke', 'Ryze', 'Sett']","['Elise', 'Irelia', ""Kai'Sa"", 'Thresh', 'Zed']",1
"['Lee Sin', 'Senna', 'Swain', 'Teemo', ""Vel'Koz""]","['Blitzcrank', 'Jarvan IV', 'Jhin', 'Lucian', 'Veigar']",1
"['Caitlyn', 'Ekko', 'Garen', 'Mordekaiser', 'Zyra']","['Ezreal', 'Lee Sin', 'Sona', 'Tristana', 'Yone']",1
"['Akali', 'Kayle', 'Soraka', 'Twitch', 'Volibear']","['Camille', 'Lee Sin', 'Lulu', 'Malzahar', 'Miss Fortune']",0
"['Ekko', 'Lulu', 'Malphite', 'Vayne', 'Yone']","['Annie', 'Lee Sin', 'Leona', 'Miss Fortune', 'Shen']",0
"['Jax', 'Lee Sin', 'Malzahar', 'Sivir', ""Vel'Koz""]","['Jhin', 'Morgana', 'Sett', 'Vladimir', 'Xerath']",1
"['Ashe', 'Pantheon', 'Warwick', 'Wukong', 'Ziggs']","['Jinx', 'Kassadin', 'Lulu', 'Shen', 'Swain']",0
"['Amumu', 'Ashe', 'Braum', 'Urgot', 'Yone']","['Ahri', 'Ekko', 'Jhin', 'Lulu', 'Shaco']",1
"['Hecarim', ""Kai'Sa"", 'Pyke', 'Urgot', 'Yone']","['Ezreal', 'Lillia', 'Lux', 'Nocturne', 'Shen']",0
"['Caitlyn', 'Gangplank', 'Pantheon', 'Ryze', 'Zac']","['Darius', 'Janna', 'Karthus', 'Nocturne', 'Syndra']",0
"['Alistar', 'Darius', 'Ezreal', 'Veigar', 'Warwick']","['Caitlyn', 'Lucian', 'Malphite', 'Tryndamere', 'Viktor']",1
"['Ekko', ""Kai'Sa"", 'Morgana', 'Ornn', 'Sylas']","['Jhin', 'Master Yi', 'Senna', 'Urgot', 'Ziggs']",0
"['Jayce', 'Jinx', 'Nautilus', 'Urgot', 'Vi']","['Galio', 'Jhin', 'Kayn', 'Shen', ""Vel'Koz""]",0
"['Aphelios', 'Maokai', 'Swain', 'Volibear', 'Yasuo']","['Ekko', 'Illaoi', 'Lucian', 'Pyke', 'Sejuani']",0
"['Jhin', 'Maokai', 'Twisted Fate', ""Vel'Koz"", 'Volibear']","['Jinx', 'Morgana', 'Sett', 'Veigar', 'Xin Zhao']",1
"['Jax', 'Jhin', 'Morgana', 'Nasus', 'Senna']","['Darius', 'Elise', 'Garen', 'Lux', 'Vayne']",0
"['Ekko', 'Jayce', 'Jhin', 'Morgana', 'Rengar']","['Akali', 'Garen', 'Jinx', 'Swain', 'Vi']",1
"['Cassiopeia', 'Gnar', ""Kai'Sa"", 'Lee Sin', 'Thresh']","['Akali', 'Jhin', 'Rammus', 'Taric', 'Vayne']",0
"['Leona', 'Maokai', 'Miss Fortune', 'Sylas', 'Xin Zhao']","['Garen', 'Lucian', 'Lulu', 'Taliyah', 'Volibear']",1
"['Heimerdinger', 'Jinx', 'Morgana', 'Sett', 'Shen']","['Caitlyn', 'Leona', 'Lux', 'Nunu & Willump', 'Teemo']",1
"['Fiora', 'Jax', 'Kalista', 'Mordekaiser', 'Nautilus']","['Azir', 'Jinx', 'Master Yi', 'Morgana', 'Ornn']",0
"['Aphelios', 'Karma', 'Master Yi', 'Yasuo', 'Yone']","['Hecarim', 'Lissandra', 'Syndra', 'Vayne', 'Yuumi']",1
"['Amumu', 'Draven', 'Fiora', 'Lulu', 'Veigar']","['Ashe', ""Rek'Sai"", 'Shen', 'Thresh', 'Vladimir']",0
"['Ezreal', 'Katarina', 'Kayn', 'Pyke', 'Riven']","['Akali', 'Brand', 'Caitlyn', 'Graves', 'Kayle']",0
"['Jinx', 'Kennen', 'Leona', 'Vi', 'Zed']","['Ezreal', 'Katarina', 'Kayn', 'Nasus', 'Thresh']",0
"['Caitlyn', 'Jayce', 'Master Yi', 'Morgana', 'Xerath']","['Jax', 'Miss Fortune', 'Neeko', 'Soraka', 'Yone']",1
"['Irelia', 'Morgana', 'Nocturne', 'Olaf', 'Senna']","['Lee Sin', 'Lucian', 'Nami', 'Sion', 'Yasuo']",0
"['Aphelios', 'Cassiopeia', 'Nocturne', 'Pantheon', 'Soraka']","['Irelia', 'Jinx', 'Leona', 'Pyke', 'Sylas']",0
"['Kalista', 'Kled', 'Pantheon', 'Rakan', 'Zed']","['Ahri', 'Hecarim', 'Kayle', 'Senna', 'Swain']",0
"['Fiddlesticks', 'Nasus', 'Senna', 'Vladimir', 'Yasuo']","['Ashe', 'Ekko', 'Leona', 'Nocturne', 'Ornn']",1
"['Akali', 'Aphelios', 'Diana', 'Pyke', 'Shen']","['Illaoi', 'Jax', 'Jinx', 'Thresh', 'Zed']",1
"['Amumu', 'Leona', 'Tristana', 'Vladimir', 'Yasuo']","['Fizz', 'Jax', 'Jinx', ""Kha'Zix"", 'Nautilus']",0
"['Akali', 'Ekko', 'Illaoi', 'Jinx', 'Senna']","['Lucian', 'Malphite', 'Nunu & Willump', 'Skarner', 'Vayne']",0
